date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:53	6950/6950	---M--	200	added ('OK')	application/x-javascript	etag:%22568bd106-1b26%22	http://www.gettemplate.com/demo/progressus-pro/assets/js/imagesloaded.pkgd.min.js	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/js/imagesloaded.pkgd.min.js	(from http://www.gettemplate.com/demo/progressus-pro/portfolio.html)
16:17:54	37745/37745	---M--	200	added ('OK')	application/x-javascript	etag:%22568bd106-9371%22	http://www.gettemplate.com/demo/progressus-pro/assets/js/isotope.pkgd.min.js	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/js/isotope.pkgd.min.js	(from http://www.gettemplate.com/demo/progressus-pro/portfolio.html)
16:17:58	109871/109871	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-1ad2f%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/s3.jpg	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/images/s3.jpg	(from http://www.gettemplate.com/demo/progressus-pro/services.html)
16:18:01	38470/38470	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-9646%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/full1.jpg	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/full1.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio-item.html)
16:18:01	58632/58632	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-e508%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/8.jpg	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/8.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio.html)
16:18:04	82493/82493	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-1423d%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/7.jpg	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/7.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio.html)
16:18:04	35234/35234	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-89a2%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/full2.jpg	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/full2.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio-item.html)
16:18:05	27414/27414	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-6b16%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/full3.jpg	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/full3.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio-item.html)
16:18:05	8256/8256	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-2040%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/people/4.jpg	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/images/people/4.jpg	(from http://www.gettemplate.com/demo/progressus-pro/about.html)
16:18:07	37478/37478	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-9266%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/mac.jpg	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/images/mac.jpg	(from http://www.gettemplate.com/demo/progressus-pro/blog.html)
16:18:07	11540/11540	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-2d14%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/2.jpg	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/images/2.jpg	(from http://www.gettemplate.com/demo/progressus-pro/sidebar-left.html)
16:18:08	17652/17652	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-44f4%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/1.jpg	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/images/1.jpg	(from http://www.gettemplate.com/demo/progressus-pro/sidebar-left.html)
16:18:08	2609/2609	---M--	200	added ('OK')	application/x-javascript	etag:%22568bd106-a31%22	http://www.gettemplate.com/demo/progressus-pro/assets/js/google-map.js	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/js/google-map.js	(from http://www.gettemplate.com/demo/progressus-pro/contact.html)
16:18:11	62438/62438	---M--	200	added ('OK')	image/png	etag:%22568bd106-f3e6%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/map.png	E:/work/sites/site_onePage_2/www.gettemplate.com/demo/progressus-pro/assets/images/map.png	(from http://www.gettemplate.com/demo/progressus-pro/about.html)
16:18:11	72127/72127	---MC-	200	added ('OK')	text/javascript	date:Sat,%2029%20Apr%202017%2013:18:08%20GMT	https://maps.googleapis.com/maps/api/js?key=&sensor=false&extension=.js	E:/work/sites/site_onePage_2/maps.googleapis.com/maps/api/js555e	(from http://www.gettemplate.com/demo/progressus-pro/contact.html)
16:18:11	101/101	---M-Z	200	added ('OK')	text/plain	date:Mon,%2012%20Sep%202016%2014:45:00%20GMT	https://maps.googleapis.com/robots.txt		(from http://www.gettemplate.com/demo/progressus-pro/contact.html)
